u,g,r,i,z,label,z1,zerr
18.74914,18.04221,17.91418,17.74799,17.68866,GALAXY,0.05083069,5.30E-06
18.03476,17.79759,17.56204,17.6263,17.0425,QSO,0.3306686,3.02E-05
19.15933,17.92574,17.04386,16.60093,16.27778,GALAXY,0.1678733,1.61E-05
17.97168,16.18719,15.44032,15.07285,14.77581,GALAXY,0.03414256,9.54E-06
18.16027,17.77667,17.27702,16.82008,16.69913,QSO,0.1545412,2.94E-05
19.19105,18.03647,17.40861,17.08466,16.85005,GALAXY,0.1294707,1.35E-05
18.27611,17.07667,16.60136,16.33783,16.16579,GALAXY,0.0323952,1.07E-05
18.30358,16.27582,15.4158,14.93939,14.64959,GALAXY,0.05125237,1.11E-05
19.12564,18.09791,17.52394,17.1461,16.89517,GALAXY,0.1096255,5.52E-06
19.10325,17.15355,16.2753,15.85783,15.56829,GALAXY,0.06013228,1.66E-05
18.14757,16.35745,15.47738,15.01755,14.65137,GALAXY,0.03502746,1.80E-05
19.18587,18.0214,17.6559,17.39296,17.29999,GALAXY,0.0677624,5.90E-06
18.37799,17.03728,16.21417,15.77755,15.48296,GALAXY,0.1272377,1.75E-05
19.40242,17.41896,16.47598,16.0486,15.71229,GALAXY,0.07508295,1.68E-05
18.45947,17.43688,16.95117,16.65292,16.52265,GALAXY,0.109377,5.34E-06
19.05154,17.67954,16.9496,16.5879,16.32,GALAXY,0.1502072,1.22E-05
19.52649,19.32559,19.03519,19.01975,19.04111,QSO,0.9697199,0.00037752
18.66406,17.43255,16.90212,16.6015,16.43482,GALAXY,0.06514008,7.84E-06
19.17039,17.307,16.43733,16.0292,15.69532,GALAXY,0.04306176,1.55E-05
19.4207,18.38379,17.99267,17.76048,17.72602,GALAXY,0.07736784,6.43E-06
19.15634,17.95417,17.30917,16.94343,16.73167,GALAXY,0.09372408,8.45E-06
18.65213,17.5971,17.1385,16.81469,16.70646,GALAXY,0.07460237,6.08E-06
19.32038,18.53288,18.55847,17.92432,18.42549,GALAXY,0.07481737,5.53E-06
19.3146,17.94211,17.29555,16.88652,16.62096,GALAXY,0.052744,7.73E-06
18.23821,16.29115,15.41178,15.0054,14.66965,GALAXY,0.03453967,9.86E-06
19.43814,17.42767,16.39435,15.94958,15.5551,GALAXY,0.116134,2.25E-05
18.71652,17.25442,16.48226,16.02876,15.71077,GALAXY,0.09015915,7.84E-06
19.22614,18.24421,17.93116,17.65648,17.50465,GALAXY,0.05070543,5.46E-06
16.54999,14.89039,14.16517,13.84799,13.65479,GALAXY,0.01415156,5.53E-06
19.53348,17.66007,16.70403,16.19768,15.87188,GALAXY,0.07682261,8.48E-06
17.40318,15.34609,14.39751,13.9625,13.6285,GALAXY,0.04427651,1.00E-05
19.53708,19.24186,19.22681,19.08718,19.05726,QSO,0.630977,0.00016524
18.96272,18.01832,17.59019,17.23063,17.13737,GALAXY,0.1006092,6.21E-06
18.93455,17.4307,16.58396,16.14064,15.83209,GALAXY,0.115457,3.54E-05
19.18831,18.80549,18.31504,17.94358,17.83105,QSO,0.1761891,2.90E-05
19.12197,18.86585,18.84258,18.96494,18.87621,QSO,0.7813594,0.000253247
19.30613,18.20199,17.50522,17.08717,16.83709,GALAXY,0.1489568,1.24E-05
17.54478,15.94276,15.18909,14.78807,14.50173,GALAXY,0.0693548,1.07E-05
19.23488,17.33521,16.38146,15.89437,15.49413,GALAXY,0.07723882,1.84E-05
18.71616,16.99013,16.16702,15.75949,15.48892,GALAXY,0.08583476,7.92E-06
19.54533,17.52263,16.51364,16.09649,15.7442,GALAXY,0.1123892,1.89E-05
18.3039,18.14198,18.05744,18.21844,18.08735,QSO,0.9036159,0.000232861
18.28317,17.13304,16.84646,16.69152,16.59524,GALAXY,0.02004109,6.37E-06
16.9671,15.58566,14.98228,14.63162,14.36806,GALAXY,0.02464629,1.70E-05
19.54589,18.39302,17.56261,17.1559,16.88884,GALAXY,0.2232517,1.74E-05
16.57973,15.92731,15.61119,15.20111,15.13706,GALAXY,0.0720337,9.41E-06
18.83508,17.85483,17.59759,17.43543,17.3274,GALAXY,0.04376404,6.80E-06
17.46221,17.06691,16.87794,16.86131,16.725,QSO,0.8032364,6.85E-05
18.75995,17.40805,16.8069,16.41299,16.12051,GALAXY,0.06591085,1.04E-05
18.80128,16.93625,16.07853,15.64984,15.29518,GALAXY,0.04431744,1.43E-05
19.38783,17.80194,16.93178,16.50481,16.2405,GALAXY,0.1375041,1.65E-05
19.00754,17.82663,17.28556,16.93637,16.71563,GALAXY,0.06912908,9.98E-06
19.43467,18.18358,17.70047,17.3807,17.22147,GALAXY,0.101868,1.80E-05
18.74074,17.41151,16.70607,16.30453,16.05344,GALAXY,0.0946961,1.29E-05
19.4552,18.05004,17.11837,16.64671,16.32594,GALAXY,0.1460941,1.84E-05
18.83684,16.87228,15.91825,15.46836,15.12723,GALAXY,0.06852013,1.53E-05
19.08691,17.78654,16.91742,16.47142,16.10747,GALAXY,0.1540623,1.57E-05
19.40886,17.46466,16.55904,16.1265,15.78491,GALAXY,0.07284902,1.66E-05
18.18743,16.9766,16.49671,16.1599,16.02522,GALAXY,0.07533634,6.43E-06
19.27991,17.74936,16.95849,16.54641,16.2741,GALAXY,0.1590068,1.53E-05
17.49483,15.56043,14.67014,14.54276,13.90182,GALAXY,0.04206732,1.17E-05
19.103,17.62068,16.95576,16.5522,16.29949,GALAXY,0.07149735,1.46E-05
16.4739,15.12122,14.5458,14.27049,14.16664,GALAXY,0.006322502,2.51E-05
19.41218,18.30233,17.80214,17.44667,17.24007,GALAXY,0.09524642,8.65E-06
19.07016,18.85162,18.70661,18.55111,18.6058,QSO,1.441051,0.000423432
16.30344,15.52274,14.91506,14.21151,13.30682,GALAXY,0.1592582,2.86E-05
19.05595,17.10419,16.13735,15.69156,15.34093,GALAXY,0.08238652,1.38E-05
18.73876,17.39325,16.74695,16.3986,16.15258,GALAXY,0.09240182,3.27E-05
19.04976,17.90712,17.53753,17.27796,17.19827,GALAXY,0.03106128,8.64E-06
18.59774,16.84954,15.93862,15.45785,15.12562,GALAXY,0.08888306,1.30E-05
19.44906,18.32448,17.65158,17.24473,16.98916,GALAXY,0.1585503,9.08E-06
17.5661,16.21617,15.69374,15.40066,15.1357,GALAXY,0.05299251,8.49E-06
17.20287,15.89494,15.3656,15.04792,14.82754,GALAXY,0.03102198,1.96E-05
18.70486,16.91658,16.10032,15.71939,15.41158,GALAXY,0.04991854,1.63E-05
18.87949,17.0319,16.05874,15.58986,15.16607,GALAXY,0.07660086,1.63E-05
18.61842,17.44318,16.67989,16.2736,15.94736,GALAXY,0.1290434,1.06E-05
17.41476,15.74403,14.93131,14.49654,14.12442,GALAXY,0.03676231,9.55E-06
17.53419,15.98807,15.33883,14.96599,14.73151,GALAXY,0.06102917,1.67E-05
17.54179,16.09842,15.43766,15.07153,14.76774,GALAXY,0.03986617,1.03E-05
19.19759,17.90461,17.41834,17.0966,16.89848,GALAXY,0.04288369,7.67E-06
18.61856,18.27938,18.35033,18.18638,17.90065,QSO,0.4438867,0.000100561
18.08772,16.17376,15.3255,14.92453,14.60573,GALAXY,0.03696816,7.01E-06
18.5569,17.20929,16.58598,16.18964,15.95876,GALAXY,0.08878929,9.41E-06
18.58233,18.16187,17.62901,17.06357,16.89816,QSO,0.1125173,3.18E-05
18.43069,17.31161,16.89549,16.64906,16.39695,GALAXY,0.03906121,9.57E-06
19.33794,17.98397,17.2977,16.9069,16.6167,GALAXY,0.08713338,1.16E-05
15.74432,12.30707,11.47731,11.19112,11.35553,QSO,1.270733,0.000203865
16.98239,15.49519,14.67602,14.26494,13.92272,GALAXY,0.02803231,1.45E-05
18.85753,17.41421,16.68605,16.23011,15.91067,GALAXY,0.08194535,1.09E-05
19.38915,17.34389,16.31519,15.86196,15.49374,GALAXY,0.09329898,2.17E-05
19.19561,18.40269,17.87949,17.53862,17.38379,GALAXY,0.1674725,7.74E-06
19.5067,19.24554,19.14292,18.92886,18.99279,QSO,1.60048,0.000450193
18.26652,16.20124,15.19838,14.7563,14.4097,GALAXY,0.09280694,2.11E-05
19.08128,16.96415,15.75295,15.27828,14.8775,GALAXY,0.152285,2.07E-05
19.4426,17.49688,16.56186,16.13416,15.77586,GALAXY,0.08521633,1.81E-05
19.59451,18.11703,17.50634,17.11558,16.85229,GALAXY,0.08776419,1.02E-05
19.52043,17.6164,16.6911,16.18012,15.83901,GALAXY,0.0748422,1.40E-05
19.59949,17.68055,16.60199,16.11482,15.69504,GALAXY,0.1248347,2.92E-05
18.53485,16.59011,15.60358,15.06841,14.72322,GALAXY,0.03015513,1.91E-05
18.55134,17.43829,16.95819,16.60172,16.41086,GALAXY,0.08058017,6.75E-06
19.49211,17.86244,17.09781,16.66625,16.35366,GALAXY,0.09298739,1.69E-05
19.33537,18.12444,17.53995,17.11975,16.90922,GALAXY,0.09043331,7.79E-06
18.72249,17.07883,16.18037,15.75765,15.43773,GALAXY,0.09362342,2.27E-05
19.25967,18.64491,18.42676,18.33883,18.31136,QSO,2.690625,0.00063581
19.4695,19.10728,19.13094,19.18136,19.12538,QSO,0.7009363,0.000185981
18.95157,17.36978,16.48262,16.0379,15.70402,GALAXY,0.07786914,1.86E-05
19.17424,17.20649,16.32504,15.91585,15.58379,GALAXY,0.07788092,1.46E-05
19.41287,17.34447,16.3085,15.84149,15.46297,GALAXY,0.08960944,1.99E-05
19.55919,17.95024,17.06652,16.63864,16.35697,GALAXY,0.1205148,2.01E-05
18.27049,17.79847,17.58386,17.38853,17.36211,QSO,1.579385,0.000526748
17.80264,16.49705,16.01651,15.70176,15.54559,GALAXY,0.04554109,6.68E-06
19.37644,17.49219,16.60981,16.18895,15.86628,GALAXY,0.0614112,1.72E-05
19.58418,18.02947,17.30047,16.91923,16.64351,GALAXY,0.07259981,1.16E-05
19.52319,18.42524,18.05365,17.80454,17.67858,GALAXY,0.05303184,7.12E-06
19.42875,18.2461,17.60296,17.24032,17.00824,GALAXY,0.1747418,1.06E-05
18.58093,16.58265,15.6523,15.21919,14.87903,GALAXY,0.07727408,1.51E-05
19.58584,19.37248,19.21948,19.03909,18.75801,QSO,2.070591,0.000694518
19.16935,17.40518,16.49795,15.95601,15.51161,GALAXY,0.03532706,2.06E-05
19.40321,18.08172,17.49748,17.08508,16.87721,GALAXY,0.08930868,8.11E-06
18.76405,17.30633,16.5788,16.19258,15.91333,GALAXY,0.09863868,2.09E-05
19.21432,17.57845,16.7113,16.24201,15.86849,GALAXY,0.05716884,1.79E-05
18.43943,16.59767,15.75359,15.35405,15.00165,GALAXY,0.03547731,1.31E-05
19.03166,18.74556,18.59143,18.60713,18.09874,QSO,0.353428,5.10E-05
19.48762,18.57619,18.28732,18.1377,18.18552,QSO,1.631598,0.000604754
19.12432,17.86503,17.30661,16.97327,16.76788,GALAXY,0.0576954,9.02E-06
18.46022,16.49379,15.57242,15.11323,14.78327,GALAXY,0.06159198,1.39E-05
19.59351,18.25425,17.73144,17.39734,17.18068,GALAXY,0.04039598,2.08E-05
18.5519,17.13562,16.4719,16.06514,15.75698,GALAXY,0.04939973,1.10E-05
16.82647,15.65049,15.02913,14.68359,14.39369,GALAXY,0.03112007,6.93E-06
19.1786,17.86555,17.22932,16.83963,16.59775,GALAXY,0.06749621,6.52E-06
17.77155,16.98622,17.24278,17.12314,17.07619,GALAXY,0.03434059,6.45E-06
18.96436,17.83894,17.39406,17.13212,16.96525,GALAXY,0.05656306,9.83E-06
19.04269,17.97516,17.49109,17.14877,17.01208,GALAXY,0.06282865,6.21E-06
19.45697,17.86766,17.07366,16.65953,16.37368,GALAXY,0.06489956,1.39E-05
18.30455,17.46578,17.22341,16.9253,16.90001,GALAXY,0.06909993,6.39E-06
19.34371,17.97988,17.25292,16.85637,16.6064,GALAXY,0.117415,1.41E-05
19.05264,18.11207,17.73187,17.39999,17.31829,GALAXY,0.11148,7.19E-06
19.14436,17.98862,17.5177,17.17977,17.00093,GALAXY,0.06771764,5.90E-06
19.27742,17.94213,17.25159,16.82276,16.55212,GALAXY,0.1191369,1.39E-05
19.16543,17.98811,17.61853,17.42921,17.25473,GALAXY,0.03541684,9.34E-06
19.29141,18.99445,18.83918,18.54001,18.557,QSO,1.567271,0.000235774
19.22265,18.17028,17.79532,17.53441,17.45344,GALAXY,0.04798645,5.96E-06
15.12558,14.82365,14.59699,15.44554,13.50475,GALAXY,0.007418246,1.30E-05
19.24959,18.1162,17.6263,17.26006,17.10984,GALAXY,0.06509759,7.35E-06
16.97866,14.96608,14.06936,13.62406,13.31638,GALAXY,0.03098538,9.90E-06
18.05013,16.68607,16.13567,15.77299,15.52546,GALAXY,0.03087848,7.97E-06
19.28424,18.11387,17.61008,17.30526,17.10683,GALAXY,0.1138917,8.36E-06
18.86313,18.01584,17.90191,17.86959,17.56907,QSO,2.527313,0.000151447
19.29555,17.7028,16.88496,16.48131,16.20324,GALAXY,0.05538671,1.84E-05
18.76844,16.9681,16.13297,15.70574,15.37774,GALAXY,0.04699257,1.41E-05
19.13516,17.94836,17.42863,17.09187,16.88691,GALAXY,0.09427003,6.91E-06
18.03215,16.9934,16.41687,16.01284,15.76241,GALAXY,0.05750092,7.84E-06
19.4742,18.39235,17.80623,17.48357,17.31886,GALAXY,0.1337907,1.14E-05
19.10492,19.04007,18.96169,19.09906,19.0207,QSO,0.9255653,0.000267685
19.44473,17.9784,16.98262,16.53229,16.1736,GALAXY,0.1373056,1.27E-05
17.19812,16.09856,15.55939,15.3299,15.18478,GALAXY,0.007885283,6.23E-06
18.87895,17.02618,16.15232,15.72967,15.41199,GALAXY,0.06056682,1.46E-05
19.16271,17.10805,16.11116,15.66157,15.3197,GALAXY,0.09093847,1.89E-05
19.04274,18.00159,17.63845,17.32163,17.17384,GALAXY,0.09029743,6.13E-06
17.60667,16.38097,15.89796,15.60653,15.40156,GALAXY,0.03482066,1.33E-05
18.59758,17.35608,16.87945,16.60131,16.44898,GALAXY,0.05061977,1.15E-05
19.09202,18.01709,17.60113,17.37204,17.18081,GALAXY,0.03481327,6.01E-06
16.70459,15.66199,15.33878,15.16666,15.02523,GALAXY,0.01556758,6.18E-06
18.64788,17.2876,16.61374,16.2315,16.00457,GALAXY,0.07277691,1.41E-05
19.26835,17.15393,16.0052,15.53244,15.14228,GALAXY,0.1328307,2.03E-05
19.49844,18.54915,17.8753,17.57566,17.64944,GALAXY,0.1321409,9.00E-06
19.30635,17.94379,17.43875,17.14674,16.99941,GALAXY,0.03551995,8.63E-06
19.58709,18.23464,17.43611,16.95989,16.65793,GALAXY,0.09518528,5.98E-06
19.04082,16.99252,16.05137,15.60045,15.27669,GALAXY,0.05662001,1.71E-05
18.42981,18.24047,18.00077,17.92972,17.89721,QSO,1.118798,0.000274769
18.86197,17.36611,16.66047,16.27365,15.99486,GALAXY,0.04768906,1.43E-05
19.43646,18.22408,17.71612,17.42438,17.19842,GALAXY,0.04212186,8.25E-06
19.56901,17.67231,16.78353,16.35311,16.05096,GALAXY,0.1009041,1.49E-05
18.353,16.68305,15.74193,15.27126,14.90177,GALAXY,0.09066106,1.56E-05
19.36349,18.92792,18.83647,18.84539,18.95091,QSO,0.7189083,0.4496622
18.42664,16.91099,16.16166,15.74385,15.46941,GALAXY,0.06376243,2.91E-05
19.21887,17.31589,16.34627,15.89349,15.56292,GALAXY,0.1133188,2.21E-05
19.2272,18.09029,17.56383,17.2136,17.02094,GALAXY,0.06465646,7.45E-06
19.28212,17.98497,17.18033,16.73192,16.41438,GALAXY,0.09520087,1.19E-05
19.55572,19.27614,19.1513,19.20063,19.14616,QSO,0.9006734,0.000500781
19.32193,17.71122,16.80234,16.27674,15.89529,GALAXY,0.07644392,6.90E-06
19.33764,19.1838,18.79387,18.72892,18.64759,QSO,1.215171,0.000422169
19.28476,17.35478,16.41119,15.97086,15.62482,GALAXY,0.1069031,2.56E-05
19.42635,18.43501,17.65734,17.27194,17.06735,GALAXY,0.2023531,1.72E-05
18.26906,16.48146,15.72903,15.39442,15.13982,GALAXY,0.07143475,1.04E-05
17.97239,16.10622,15.24573,14.83389,14.52408,GALAXY,0.04724714,1.06E-05
18.96851,17.56855,16.99258,16.65357,16.41628,GALAXY,0.04637813,9.03E-06
19.13157,17.85476,17.17363,16.77184,16.52955,GALAXY,0.09573994,1.49E-05
19.28803,18.84436,18.80545,18.61757,18.75551,QSO,0.6104372,0.000108037
19.02866,17.83147,17.21431,16.83872,16.58106,GALAXY,0.1299727,9.60E-06
18.42093,17.21768,16.55848,16.17653,15.92021,GALAXY,0.09624983,1.32E-05
17.79986,15.77741,14.909,14.46963,14.13879,GALAXY,0.05160217,1.46E-05
19.31119,18.4437,18.1043,18.00173,17.99845,GALAXY,0,0
19.4598,18.07752,17.45795,17.09575,16.92554,GALAXY,0.1322253,8.82E-06
19.36694,19.04881,18.90743,18.93323,18.82065,QSO,0.7220909,0.00014323
18.24437,16.97793,16.51157,16.26771,16.05393,GALAXY,0.03056033,1.21E-05
18.91153,17.62443,17.07274,16.7836,16.59622,GALAXY,0.03360078,8.61E-06
19.4931,19.36327,19.36641,19.04561,19.07814,QSO,1.749667,0.000316535
17.49323,15.96705,15.24549,14.86375,14.52944,GALAXY,0.03652085,1.43E-05
19.48802,18.28792,17.78827,17.49895,17.32338,GALAXY,0.06443525,1.77E-05
18.59515,18.26632,18.16153,18.02419,17.97473,QSO,0.692234,0.000167819
18.25678,17.44038,17.27462,17.04204,16.74571,QSO,2.281932,0.000133876
19.44924,17.63793,16.75526,16.3485,16.04381,GALAXY,0.06381337,2.13E-05
17.86465,16.56935,15.91616,15.57341,15.26786,GALAXY,0.03693028,8.10E-06
19.59196,19.41694,19.21862,19.24147,19.12986,QSO,0.9968141,0.000447177
18.99319,17.50026,16.71293,16.27503,15.95919,GALAXY,0.06454962,8.84E-06
19.22844,17.99179,17.43487,17.04498,16.92274,GALAXY,0.1058562,6.73E-06
19.23833,17.99342,17.35731,17.01996,16.72586,GALAXY,0.1049512,1.38E-05
17.83498,15.74704,14.79823,14.33201,13.98379,GALAXY,0.04709157,1.20E-05
18.84735,17.69231,17.26816,17.0228,16.7766,GALAXY,0.07746752,6.69E-06
18.8238,16.72464,15.82403,15.47699,15.31045,GALAXY,0,0
19.05479,17.12109,16.13651,15.60718,15.17661,GALAXY,0.05482311,1.59E-05
19.22976,18.37262,17.74507,17.43618,17.3317,GALAXY,0.03417011,8.52E-06
19.30483,17.93063,17.33864,16.96625,16.73908,GALAXY,0.08949589,8.29E-06
19.31237,17.95454,17.43069,17.13566,16.9321,GALAXY,0.0445881,1.88E-05
17.88833,16.8795,16.47251,16.21296,16.02686,GALAXY,0.03698948,5.58E-06
19.1953,18.99746,18.83089,18.59439,18.41338,QSO,1.96436,0.000430268
17.96136,16.664,16.01865,15.6576,15.38778,GALAXY,0.0505862,9.71E-06
19.46549,18.17461,17.65893,17.3811,17.23772,GALAXY,0.04652873,2.59E-05
17.96314,17.50533,17.43269,17.11477,16.85606,QSO,2.195289,5.43E-05
18.94071,18.83797,18.49666,18.47653,18.50913,QSO,1.342325,0.000377431
18.64786,16.85072,15.86491,15.38396,15.01376,GALAXY,0.09983044,1.21E-05
19.28792,18.15683,17.31366,16.88653,16.6298,GALAXY,0.1851828,1.23E-05
18.18759,16.34286,15.47715,15.06381,14.73936,GALAXY,0.06790937,1.67E-05
18.88998,16.89289,15.93863,15.50488,15.15903,GALAXY,0.07003973,1.44E-05
18.57129,16.83348,16.03117,15.65694,15.35356,GALAXY,0.03653646,1.40E-05
17.56102,15.81341,14.97171,14.56966,14.22751,GALAXY,0.03647097,1.70E-05
16.14355,13.50574,12.58476,12.24513,13.04779,GALAXY,0.3020025,7.16E-05
18.60213,16.77483,15.96952,15.59801,15.28971,GALAXY,0.04490649,1.02E-05
18.22828,16.54268,15.72705,15.30074,14.9611,GALAXY,0.03412642,1.67E-05
19.12667,17.27965,16.3467,15.92087,15.57079,GALAXY,0.08450229,2.11E-05
18.47072,16.78701,15.93838,15.45199,15.04966,GALAXY,0.03303004,8.89E-06
18.79756,17.49038,16.83176,16.42096,16.18603,GALAXY,0,0
17.57261,16.09368,15.41807,15.04559,14.72462,GALAXY,0.0304904,1.22E-05
18.82348,18.48764,18.2312,17.88816,17.98057,QSO,0.2182461,3.13E-05
17.88822,16.60712,15.91531,15.52132,15.24292,GALAXY,0.09007889,1.28E-05
19.0955,18.9285,18.50819,18.28674,18.34684,QSO,1.508429,0.00017457
17.08697,16.03015,15.80858,15.75471,15.74866,GALAXY,0,0
19.3855,17.8778,16.92143,16.44123,16.12349,GALAXY,0.154175,3.19E-05
19.16891,18.00364,17.47981,17.13049,16.99684,GALAXY,0.1144934,1.64E-05
19.19042,17.3923,16.5922,16.21789,15.89218,GALAXY,0.0305298,1.99E-05
19.30798,17.69622,16.86139,16.42943,16.09329,GALAXY,0.1117096,2.55E-05
17.66887,16.71972,16.36889,16.2201,16.17685,GALAXY,0.02252473,5.91E-06
19.24426,18.21081,17.56656,17.19374,16.98043,GALAXY,0.1588575,1.71E-05
17.09632,15.24161,14.42666,14.04049,13.76252,GALAXY,0.04723443,9.21E-06
18.58179,17.30716,16.69013,16.34727,16.07295,GALAXY,0.06326003,1.08E-05
17.30722,17.0584,16.76861,16.00291,16.15862,QSO,0.09029632,2.05E-05
19.32793,17.70645,16.91772,16.56687,16.32787,GALAXY,0.03920985,1.73E-05
19.01118,17.09978,16.10748,15.63297,15.27226,GALAXY,0.08932346,1.89E-05
19.37358,17.4266,16.42494,15.99467,15.62199,GALAXY,0.1015013,2.00E-05
19.09311,17.98141,17.38049,16.96273,16.75626,GALAXY,0.102449,8.43E-06
17.99435,16.87428,16.51756,16.3224,16.14984,GALAXY,0.03670501,7.22E-06
19.33051,17.44411,16.59668,16.19101,15.86802,GALAXY,0.03305124,1.57E-05
18.67249,17.63375,17.34174,17.12811,17.00931,GALAXY,0.04539797,7.03E-06
16.29274,14.39111,13.57735,13.18145,12.8923,GALAXY,0.02352407,7.82E-06
19.45617,17.9869,17.33208,16.89179,16.62341,GALAXY,0.1011777,8.24E-06
18.17641,17.57013,17.49084,17.35662,17.28262,GALAXY,0.03814624,4.46E-06
19.18985,17.17806,16.20396,15.7638,15.38514,GALAXY,0.08880654,2.19E-05
19.52058,18.13754,17.25685,16.8148,16.51475,GALAXY,0.1528214,1.22E-05
18.84653,17.84232,17.41651,17.00554,16.84017,GALAXY,0.0928125,5.59E-06
19.55983,18.16506,17.28395,16.83523,16.50493,GALAXY,0.1438896,1.77E-05
18.62344,17.09166,16.33928,15.94844,15.66003,GALAXY,0.0379391,1.81E-05
18.10937,16.21239,15.3005,14.84621,14.50323,GALAXY,0.0461045,1.40E-05
19.35247,18.26183,17.8764,17.60061,17.40666,GALAXY,0.04562045,6.22E-06
18.3253,16.65617,15.88882,15.51008,15.22109,GALAXY,0.05526412,1.37E-05
17.78037,17.43447,17.1164,17.00193,16.85564,QSO,0.3723389,1.77E-05
18.99407,17.00883,16.08657,15.66112,15.34452,GALAXY,0.07182252,1.59E-05
19.48375,18.14097,17.19821,16.70581,16.40124,GALAXY,0.1717518,2.08E-05
19.26813,17.98978,17.44798,17.16061,16.93309,GALAXY,0.07716197,1.11E-05
19.19215,18.10829,17.53044,17.15872,16.93942,GALAXY,0.1144939,1.07E-05
19.50203,19.46911,19.32436,19.29115,19.45131,QSO,1.331294,0.000484044
19.56606,19.33784,19.20046,19.10128,19.11057,QSO,1.454507,0.000679784
17.91268,16.11977,15.27568,14.88767,14.57252,GALAXY,0.03051605,8.65E-06
17.91512,17.70408,17.56768,17.49919,17.50805,QSO,1.440065,0.000158097
19.56762,18.23781,17.45283,16.95509,16.6666,GALAXY,0.11817,1.02E-05
18.94529,17.13652,16.24741,15.79232,15.41918,GALAXY,0.05423977,1.54E-05
19.33229,17.67949,16.65462,16.19803,15.83028,GALAXY,0.1278302,3.15E-05
19.32979,17.37484,16.4185,16.01368,15.69466,GALAXY,0.1160689,2.08E-05
19.07235,17.32675,16.40673,15.91357,15.51062,GALAXY,0.09279993,3.00E-05
19.45693,19.22777,18.98055,18.62286,18.72388,QSO,0.2082844,4.13E-05
16.74827,14.67738,13.84289,13.43835,13.12124,GALAXY,0.03889029,1.18E-05
18.70008,16.72442,15.99069,15.5588,15.21563,GALAXY,0.03264697,6.45E-06
16.74196,14.83054,13.96397,13.53038,13.19082,GALAXY,0.0399779,1.17E-05
18.73144,16.72122,15.70925,15.26758,14.90507,GALAXY,0.09599084,1.78E-05
19.58819,18.37417,17.77127,17.4472,17.2229,GALAXY,0.04717302,1.08E-05
18.89396,17.03764,16.11917,15.70822,15.39801,GALAXY,0.09014769,2.03E-05
18.8305,17.655,17.2446,16.99722,16.86168,GALAXY,0.03675822,1.27E-05
18.62489,17.42608,16.93859,16.64169,16.47875,GALAXY,0.0639507,1.05E-05
18.43932,16.74908,15.9554,15.56721,15.27948,GALAXY,0.06351659,1.57E-05
18.19197,16.27493,15.41343,14.98972,14.66503,GALAXY,0.05468807,1.61E-05
19.20057,18.94613,18.98843,18.88408,18.59766,QSO,0.4230398,7.51E-05
18.4943,16.68258,15.84499,15.44627,15.14162,GALAXY,0.04786666,1.20E-05
19.34047,17.64642,16.61226,16.14491,15.7658,GALAXY,0.1399126,2.19E-05
19.57889,17.47473,16.37453,15.91598,15.51802,GALAXY,0.1201827,2.21E-05
19.01435,17.65035,16.91807,16.47636,16.20238,GALAXY,0.08030882,1.10E-05
18.59923,17.39548,16.87695,16.58505,16.35646,GALAXY,0.03348523,9.47E-06
17.53504,15.48754,14.56499,14.10771,13.77968,GALAXY,0.04329912,1.22E-05
18.55605,16.68305,15.77994,15.29758,14.89991,GALAXY,0.03792644,1.15E-05
19.19147,18.92223,18.58502,18.50959,18.53945,QSO,1.236763,0.00039443
18.59007,17.43063,16.88233,16.55472,16.35924,GALAXY,0.08225832,8.63E-06
18.61606,17.35732,16.76649,16.40627,16.15542,GALAXY,0.05037904,6.92E-06
19.3867,17.90228,17.01366,16.5571,16.20149,GALAXY,0.1203741,1.93E-05
18.91767,16.81679,15.81152,15.3525,15.01398,GALAXY,0.1027553,2.15E-05
18.25612,16.87329,16.2801,16.04827,15.94909,GALAXY,0,0
19.23227,17.35436,16.43974,15.9922,15.65824,GALAXY,0.05359389,1.55E-05
18.83546,17.51723,17.02037,16.60505,16.35398,GALAXY,0.1369743,8.94E-06
19.40384,19.18034,18.96832,18.73477,18.71461,QSO,1.470866,0.000254105
18.61063,16.49824,15.59029,15.15836,14.81902,GALAXY,0.03913414,1.43E-05
18.49918,17.19744,16.71762,16.51842,16.53649,GALAXY,0.02948017,1.11E-05
18.81087,17.96187,17.72675,17.4605,17.37943,GALAXY,0.05831105,6.64E-06
19.18556,18.79764,18.5678,18.22211,18.02158,QSO,0.4993142,8.25E-05
19.04804,17.75661,17.18898,16.79419,16.56616,GALAXY,0.06188039,9.27E-06
18.02716,17.97617,17.86687,17.95009,18.02524,QSO,1.08674,0.000356998
19.10194,17.10788,16.20855,15.77383,15.4308,GALAXY,0.06305638,1.41E-05
17.91215,16.57858,15.91886,15.55583,15.27669,GALAXY,0.03889094,1.40E-05
18.47466,16.86513,16.2119,15.84973,15.59765,GALAXY,0.0493933,2.30E-05
19.01546,18.68343,18.88573,18.70703,18.50974,QSO,0.4993643,6.91E-05
16.77115,15.26271,14.51805,14.13781,13.84095,GALAXY,0.02524811,1.10E-05
18.34292,17.24953,16.79812,16.4804,16.31555,GALAXY,0.0561429,5.82E-06
19.36631,19.28126,18.81897,18.59087,18.14897,QSO,0.3285444,7.42E-05
19.03039,18.71959,18.87679,18.70754,18.69969,QSO,0.5673237,0.00039691
19.06804,17.81092,17.23369,16.88059,16.73275,GALAXY,0.07961293,1.30E-05
