aX,aY,aZ,gX,gY,gZ
1.536,0.255,0.840,4.822,-60.425,-28.809
1.503,0.267,0.833,2.625,-69.031,-37.964
1.430,0.219,0.831,-4.028,-74.585,-47.974
1.321,0.146,0.836,-10.803,-78.979,-56.091
1.204,0.073,0.831,-14.648,-84.961,-62.622
1.105,0.008,0.840,-14.343,-93.384,-67.932
1.017,-0.049,0.862,-10.437,-103.027,-71.228
0.938,-0.096,0.845,-4.395,-111.450,-72.449
0.844,-0.102,0.811,3.174,-118.286,-71.533
0.734,-0.059,0.768,9.888,-121.460,-68.176
0.600,0.007,0.717,15.808,-118.286,-62.561
0.408,0.090,0.663,21.118,-108.826,-56.396
0.146,0.247,0.527,29.785,-92.346,-49.438
-0.233,0.508,0.277,44.373,-71.228,-42.603
-0.667,0.771,0.074,55.908,-51.697,-35.461
-1.181,1.047,0.057,61.768,-32.593,-27.954
-1.814,1.454,0.115,61.157,-9.216,-31.921
-2.445,1.670,0.233,65.063,18.433,-63.660
-2.995,1.653,0.260,61.646,40.771,-107.849
-3.434,1.411,0.352,36.194,52.856,-147.644
-3.680,0.982,0.517,7.568,47.729,-187.561
-3.740,0.243,0.658,-6.897,24.841,-222.778
-3.486,-0.568,0.612,-31.494,-9.644,-233.948
-2.935,-1.267,0.890,-79.773,-63.599,-204.041
-2.212,-1.541,1.408,-127.625,-132.324,-138.916
-1.617,-1.520,2.114,-143.433,-171.570,-54.077
-1.251,-1.298,2.715,-118.591,-160.400,25.879
-0.914,-0.955,2.912,-68.420,-114.258,77.698
-0.748,-0.533,2.727,-5.859,-44.617,97.351
-0.800,-0.125,2.380,67.627,34.729,95.886
-1.061,0.277,1.868,118.835,100.525,88.989
-1.299,0.598,1.319,129.761,154.053,88.928
-1.461,0.735,0.835,98.694,193.542,90.576
-1.485,0.751,0.410,35.645,203.369,83.862
-1.352,0.627,0.133,-24.353,192.017,73.181
-1.200,0.471,0.071,-57.617,167.236,63.110
-1.115,0.302,0.185,-62.134,137.939,57.861
-0.985,0.202,0.351,-52.612,111.267,58.105
-0.891,0.182,0.531,-36.865,87.891,62.073
-0.801,0.217,0.666,-16.418,71.899,67.749
-0.741,0.240,0.749,5.981,63.354,71.655
-0.657,0.270,0.724,26.245,56.274,70.313
-0.541,0.253,0.731,39.246,43.823,66.467
-0.412,0.243,0.772,38.818,31.128,63.660
-0.373,0.188,0.857,28.503,22.461,58.533
-0.308,0.092,0.947,10.437,16.235,54.077
-0.111,0.015,0.995,-16.052,12.268,52.307
-0.048,0.008,1.092,-41.077,10.315,58.716
-0.064,0.079,1.178,-51.697,14.587,69.092
0.038,0.084,1.193,-42.603,23.926,76.233
0.213,0.143,1.072,-21.973,34.363,79.895
0.296,0.146,1.033,6.653,47.363,83.984
0.211,0.250,0.900,28.564,52.551,84.961
0.229,0.281,0.811,37.720,60.730,81.177
0.266,0.280,0.713,29.358,64.270,74.219
0.288,0.275,0.632,11.780,57.800,66.040
0.271,0.244,0.623,-5.493,47.791,54.932
0.322,0.189,0.642,-20.020,34.973,46.509
0.300,0.190,0.739,-27.161,20.569,42.786
0.365,0.187,0.848,-26.611,9.338,41.748
0.423,0.194,0.978,-21.240,2.808,39.124
0.515,0.174,1.062,-9.949,4.150,36.316
0.612,0.117,1.103,0.916,11.108,35.217
0.587,0.104,1.146,4.333,22.827,36.499
0.593,0.072,1.106,0.244,37.231,36.255
0.607,0.033,1.026,-2.380,48.584,35.522
