aX,aY,aZ,gX,gY,gZ
-0.657,-0.427,2.380,-125.183,377.075,-3.967
-0.783,-0.462,2.159,-132.996,401.428,1.038

-1.100,-0.413,1.744,-129.883,465.149,25.879
-0.914,-0.369,1.423,-123.108,508.972,40.344
-0.881,-0.491,1.154,-115.112,520.996,51.697
-0.988,-0.440,1.043,-125.977,511.902,37.415
-1.071,-0.473,0.924,-164.246,489.136,36.499
-1.190,-0.631,0.667,-211.426,478.821,37.781
-1.356,-0.618,0.311,-255.310,473.633,39.429
-1.397,-0.511,0.002,-294.128,464.905,42.969
-1.447,-0.443,-0.273,-321.106,445.740,47.546
-1.523,-0.364,-0.516,-329.346,430.542,47.607
-1.551,-0.230,-0.759,-310.364,427.612,42.236
-1.560,-0.086,-1.073,-256.714,436.707,28.870
-1.380,-0.006,-1.499,-180.176,449.646,9.460
-1.150,0.031,-1.920,-95.337,437.683,-11.597
-0.977,-0.005,-2.297,-23.926,399.536,-32.227
-0.885,-0.151,-2.521,12.756,342.957,-53.650
-0.855,-0.387,-2.666,8.484,282.593,-71.350
-0.854,-0.639,-2.808,-25.208,223.145,-77.515
-0.964,-0.812,-3.007,-72.876,170.898,-65.552
-1.016,-0.805,-3.289,-105.469,126.465,-37.903
-0.997,-0.699,-3.546,-104.797,83.191,0.244
-0.948,-0.410,-3.608,-69.641,26.123,46.265
-0.726,-0.025,-3.437,-14.221,-38.025,83.008
-0.604,0.225,-3.010,46.997,-109.192,92.834
-0.618,0.284,-2.505,91.125,-171.326,74.829
-0.548,0.225,-1.985,104.919,-227.112,49.438
-0.378,0.169,-1.550,93.018,-265.503,26.001
-0.221,0.120,-1.221,68.970,-286.377,-0.366
-0.151,0.031,-0.903,55.786,-304.504,-24.170
-0.121,-0.088,-0.590,82.642,-314.453,-35.950
-0.070,-0.293,-0.724,133.362,-305.176,-30.640
-0.076,-0.258,-0.623,125.488,-307.312,-12.146
-0.129,-0.081,-0.494,87.769,-320.190,6.409
-0.160,0.004,-0.492,82.275,-326.782,18.005
-0.201,0.066,-0.485,91.919,-328.674,22.400
-0.265,0.133,-0.406,104.675,-332.031,21.057
-0.313,0.153,-0.269,126.099,-336.792,17.273
-0.357,0.162,-0.062,150.269,-342.773,12.451
-0.332,0.183,0.139,168.030,-348.328,3.845
-0.320,0.121,0.399,180.969,-354.309,-8.728
-0.287,-0.009,0.685,186.523,-359.741,-19.653
-0.229,-0.124,0.988,175.659,-363.770,-21.118
-0.132,-0.155,1.196,152.893,-362.000,-13.733
-0.090,-0.189,1.170,124.573,-353.210,-0.305
-0.229,-0.015,1.000,97.229,-339.783,16.724
-0.394,0.205,1.076,87.036,-338.562,31.677
-0.534,0.335,1.360,89.966,-355.286,35.522
-0.660,0.494,1.753,106.445,-358.154,25.513
-0.594,0.439,2.139,142.639,-351.685,10.132
-0.384,0.284,2.431,169.373,-332.581,-4.150
-0.077,0.148,2.631,174.011,-295.227,-10.498
0.196,0.044,2.607,155.396,-251.343,-3.479
0.351,0.050,2.317,110.535,-210.693,10.376
0.305,0.106,1.939,56.946,-180.237,22.949
0.276,0.161,1.537,14.771,-161.743,31.372
0.201,0.229,1.116,-6.531,-151.428,35.522
0.026,0.292,0.850,-4.578,-149.658,32.898
-0.188,0.300,0.873,22.095,-156.311,27.954
-0.213,0.306,1.100,62.195,-167.175,23.193
-0.225,0.305,1.381,96.069,-167.908,17.212
-0.162,0.245,1.581,114.868,-159.546,12.146
-0.100,0.199,1.610,112.183,-151.611,12.085
-0.041,0.290,1.675,88.013,-146.423,11.230
-0.033,0.296,1.690,54.626,-150.208,14.832
-0.100,0.314,1.565,24.048,-140.259,11.780
-0.152,0.311,1.429,8.728,-127.258,12.329
-0.188,0.288,1.384,13.428,-117.859,12.512
-0.285,0.316,1.435,23.682,-112.854,10.010
-0.351,0.373,1.584,33.203,-109.497,5.920
-0.298,0.378,1.781,42.847,-102.722,1.709
-0.252,0.356,1.979,46.936,-92.590,-3.235
-0.000,1.129,2.764,46.387,-77.454,-8.118
-0.020,0.730,4.000,135.376,-42.969,-32.410
-0.456,-0.667,2.913,98.022,-12.451,-31.433
0.310,-0.198,0.850,-120.972,60.425,-19.836
0.261,0.115,0.444,-110.535,68.115,11.475
-0.055,0.257,1.143,-53.040,11.047,34.485
0.159,0.368,0.686,-41.626,24.170,16.602
-0.021,0.196,0.782,-6.042,15.198,1.709
-0.106,0.108,1.133,20.569,7.263,2.075
0.002,0.189,1.330,13.306,7.812,11.536
-0.071,0.312,1.633,-12.207,-0.488,15.198
-0.231,0.456,2.015,-25.024,-2.930,13.184
-0.303,0.554,2.343,-20.630,12.695,10.315
-0.331,0.592,2.573,-8.972,43.030,4.333
-0.357,0.537,2.690,-4.639,77.515,-3.967
-0.399,0.491,2.696,-13.306,113.831,-14.038
-0.380,0.488,2.719,-27.344,143.433,-21.912
-0.436,0.475,2.806,-37.903,164.917,-28.198
-0.534,0.470,2.932,-43.579,187.683,-34.668
-0.600,0.404,3.180,-41.748,209.534,-38.635
-0.667,0.330,3.491,-42.419,229.919,-39.001
-0.786,0.257,3.710,-52.246,255.249,-41.931
-0.887,0.087,3.816,-71.838,286.133,-47.302
-1.022,-0.131,3.729,-101.807,323.669,-52.856
-1.125,-0.324,3.323,-133.240,375.854,-57.617
-1.157,-0.501,2.787,-149.841,435.303,-54.443
-1.320,-0.596,2.291,-146.667,485.962,-42.480
-1.440,-0.561,1.746,-132.690,533.752,-20.264
-1.228,-0.366,1.164,-111.938,584.290,8.911
-1.137,-0.527,0.739,-78.491,589.783,29.419
-1.353,-0.471,0.623,-64.453,539.551,19.470
-1.377,-0.318,0.413,-96.130,492.065,26.733
-1.253,-0.260,0.371,-164.246,450.684,33.752
-1.276,-0.127,0.348,-227.112,418.091,18.860
-1.292,-0.131,0.190,-241.760,407.837,-2.563
-1.293,-0.270,-0.088,-214.722,412.537,-15.930
-1.379,-0.405,-0.455,-191.040,429.749,-26.184
-1.476,-0.508,-0.979,-178.284,457.703,-35.645
-1.499,-0.604,-1.616,-161.926,487.549,-44.373
-1.529,-0.569,-2.384,-142.029,506.104,-59.204
-1.437,-0.588,-3.175,-110.352,498.230,-74.036
-1.431,-0.703,-3.803,-70.862,445.740,-77.698
-1.329,-0.788,-4.000,-47.852,371.826,-67.383
-1.277,-0.897,-4.000,-29.663,265.564,-43.762
-1.308,-0.904,-4.000,-29.846,138.794,-3.418
-1.323,-0.637,-4.000,-50.842,20.996,45.837
-1.241,-0.195,-4.000,-61.279,-81.665,92.163
-1.070,0.128,-3.375,-40.466,-180.908,117.737

-0.522,0.568,-1.728,68.604,-272.278,77.209
-0.292,0.305,-1.105,168.335,-292.664,23.621
-0.122,0.009,-0.708,222.107,-278.381,-5.127
0.046,-0.249,-0.666,229.004,-267.578,-21.912
0.110,-0.287,-0.576,182.922,-283.142,-20.264
0.099,-0.270,-0.594,136.230,-303.467,-9.094
0.026,-0.233,-0.641,104.614,-325.012,4.700
-0.111,-0.109,-0.624,71.350,-345.642,18.738
-0.279,0.048,-0.510,53.772,-362.732,31.128
-0.408,0.152,-0.365,62.256,-370.972,37.964
-0.402,0.280,-0.221,86.487,-370.300,39.856
-0.331,0.246,-0.187,115.173,-360.535,29.968
-0.328,0.125,-0.003,135.986,-360.779,15.137
-0.362,0.052,0.354,138.611,-376.770,7.690
-0.337,0.030,0.625,121.521,-394.409,7.751
-0.341,0.043,0.800,93.994,-404.297,11.292
-0.342,0.076,0.915,69.763,-407.043,13.184
-0.488,0.209,1.035,55.115,-405.273,17.395
-0.578,0.270,1.196,65.613,-393.982,21.973
-0.622,0.333,1.336,91.309,-373.291,21.912
-0.664,0.385,1.611,118.347,-354.004,17.944
-0.590,0.312,2.031,138.184,-342.651,14.648
-0.442,0.236,2.322,137.268,-322.876,11.353
-0.365,0.172,2.422,119.019,-294.678,9.583
-0.351,0.175,2.419,89.844,-265.198,10.559
-0.394,0.221,2.327,59.448,-241.150,14.832
-0.528,0.341,2.247,34.546,-219.543,16.235
-0.520,0.401,2.287,27.771,-207.336,15.076
-0.358,0.424,2.347,28.320,-195.007,10.193
-0.155,0.340,2.342,28.015,-171.143,3.113
-0.029,0.262,2.188,23.865,-138.428,-0.793
0.031,0.219,1.905,16.052,-102.356,2.075
0.068,0.199,1.566,9.460,-71.045,8.484
0.034,0.226,1.268,8.179,-51.392,15.137
-0.113,0.275,1.094,17.517,-45.654,19.043
-0.358,0.307,1.094,35.767,-55.603,22.156
-0.216,0.406,1.354,49.500,-75.867,22.461
-0.186,0.487,1.727,53.711,-97.778,21.301
-0.161,0.470,1.901,50.598,-87.952,12.207
-0.062,0.449,1.863,38.269,-63.843,6.592
0.026,0.406,1.654,21.729,-40.588,0.732
0.081,0.322,1.378,6.653,-20.325,-4.700
0.098,0.240,1.097,-1.831,-8.362,-7.568
0.100,0.217,0.837,-2.502,-3.174,-6.714
0.089,0.194,0.648,5.432,-4.272,-5.005
0.030,0.183,0.661,17.944,-16.785,-3.906
0.006,0.203,0.843,28.748,-36.133,-1.587
-0.022,0.217,1.049,35.156,-48.462,0.244
-0.021,0.224,1.200,37.476,-48.950,1.892
-0.027,0.229,1.280,36.682,-43.884,3.601
-0.058,0.250,1.284,30.762,-37.170,4.089
-0.081,0.257,1.231,23.560,-28.809,3.357
